ita_id;id_ras_activity_data;ita_t;ita_micro;ita_mili ;ita_x;ita_y;ita_z;ita_is_calibration_data
18048577;3799;1,69564E+12;288449149;1933;-4.941317;-2.4726882;2.5587776;false
18049262;3799;1,69564E+12;235314753;1933;0.06791767;-0.078141175;-0.0068549616;true
18048578;3799;1,69564E+12;288465816;1950;-2.6322396;-1.9979494;-0.33304378;false
18049263;3799;1,69564E+12;235331420;1950;0.0667909;0.004694629;0.049216673;true
18048579;3799;1,69564E+12;288482483;1966;-1.129996;-1.8149595;-1.946063;false
18049264;3799;1,69564E+12;235348087;1966;0.05570666;2.3420283E-4;0.06234146;true
18048580;3799;1,69564E+12;288499150;1983;-1.6946346;-2.4603121;-1.8378499;false
18049265;3799;1,69564E+12;235364754;1983;-0.031995058;-0.08950106;0.052034844;true
18048581;3799;1,69564E+12;288515817;2000;-0.063858956;-1.1030482;-2.1303744;false
18049266;3799;1,69564E+12;235381421;2000;0.07008434;-0.12430182;0.08907846;true
18048582;3799;1,69564E+12;288532484;2016;1.4192666;1.2672849;-2.7382998;false
18049267;3799;1,69564E+12;235398088;2016;-0.0077326032;-0.037871476;0.13655922;true
18048583;3799;1,69564E+12;288549151;2033;0.19494791;1.7596526;-1.7214959;false
18049268;3799;1,69564E+12;235414755;2033;0.019848146;0.04504826;0.14831212;true
18048584;3799;1,69564E+12;288565818;2050;-0.6334385;0.7248007;-1.7508061;false
18049269;3799;1,69564E+12;235431422;2050;-0.1531055;0.029427487;0.12687916;true
18048585;3799;1,69564E+12;288582485;2066;-0.58573955;-0.7056221;-2.0361347;false
18049270;3799;1,69564E+12;235448089;2066;-0.082027555;0.09103439;0.08164004;true
18048586;3799;1,69564E+12;288599152;2083;-0.85323083;0.17924276;-1.7225193;false
18049271;3799;1,69564E+12;235464756;2083;-0.061861426;0.06020069;0.10024425;true
18048587;3799;1,69564E+12;288615819;2100;2.4794366;2.826154;-0.39851803;false
18049272;3799;1,69564E+12;235481423;2100;0.01079777;-0.008354841;0.11300767;true
18048588;3799;1,69564E+12;288632486;2116;3.8107066;2.8223956;0.7160823;false
18049273;3799;1,69564E+12;235498090;2116;0.02791754;-0.045770206;0.15307488;true
18048589;3799;1,69564E+12;288649153;2133;2.455628;0.70943797;0.17430624;false
18049274;3799;1,69564E+12;235514757;2133;-0.025691038;-0.03591713;0.10012317;true
18049275;3799;1,69564E+12;235531424;2150;0.0041754013;0.041151762;0.10056444;true
18049276;3799;1,69564E+12;235548091;2166;-0.047419272;0.066264965;0.086941876;true
